territory_id,state,region,rev_2024,rev_2023,yoy_growth_pct,market_potential_index,competitor_intensity,urban_index,num_target_hcps,active_reps,revenue_per_mpi,revenue_quintile
T020,OK,Southwest,724924.4700000003,682136.4100000004,6.27,75.9,0.33,0.98,180,3,9551.05,5
T028,PA,Northeast,663986.7900000004,658068.1200000005,0.9,59.8,0.71,0.49,175,8,11103.46,5
T010,UT,West,538427.7600000002,536515.33,0.36,58.6,0.36,0.47,137,2,9188.19,5
T047,GA,Southeast,416777.29,469536.7899999999,-11.24,61.5,0.32,0.77,296,2,6776.87,5
T045,CO,West,334613.02999999985,391380.45,-14.5,42.6,0.43,0.63,163,3,7854.77,5
T036,WA,Northwest,308501.59,242016.8700000001,27.47,44.3,0.64,0.58,92,3,6963.92,5
T023,NV,Southwest,305686.35000000003,249137.69,22.7,81.4,0.46,0.51,271,1,3755.36,5
T037,ID,Northwest,291461.22000000003,305993.0800000001,-4.75,48.3,0.38,0.5,102,2,6034.39,5
T011,OK,Southwest,264658.1600000001,357388.26999999984,-25.95,61.5,0.49,0.26,193,2,4303.38,4
T003,MI,Midwest,261912.43999999983,237838.19,10.12,71.1,0.74,0.38,281,3,3683.72,4
T013,WY,Northwest,217513.2400000001,189622.75999999995,14.71,20.5,0.41,0.31,236,4,10610.4,4
T024,SC,Southeast,192598.74,190482.97,1.11,56.7,0.31,0.52,256,1,3396.8,4
T033,NM,Southwest,176714.04999999996,191815.3,-7.87,81.6,0.68,0.69,91,2,2165.61,4
T017,MT,Northwest,169787.27,187660.66,-9.52,78.3,0.51,0.46,100,1,2168.42,4
T018,WY,Northwest,165087.80000000002,122049.84999999996,35.26,47.6,0.58,0.61,243,1,3468.23,4
T032,TN,Southeast,160740.59000000008,139365.91,15.34,78.4,0.82,0.52,116,2,2050.26,4
T050,AZ,Southwest,158891.56999999998,172820.18,-8.06,71.6,0.69,0.65,266,2,2219.16,3
T008,MI,Midwest,149032.81,201400.78,-26.0,20.8,0.51,0.69,214,4,7165.04,3
T009,MI,Midwest,144272.58999999997,188711.47,-23.55,59.2,0.36,0.96,275,1,2437.04,3
T049,NY,Northeast,127420.9,127990.14000000006,-0.44,77.5,0.5,0.56,220,2,1644.14,3
T044,IL,Midwest,125530.82,155233.75,-19.13,57.7,0.46,0.53,141,1,2175.58,3
T041,NY,Northeast,111391.72,119376.75,-6.69,34.3,0.79,0.48,109,3,3247.57,3
T027,NM,Southwest,99079.97000000002,84780.31,16.87,48.2,0.62,0.69,289,1,2055.6,3
T029,MA,Northeast,98244.84999999998,101772.11000000004,-3.47,66.0,0.67,0.76,231,1,1488.56,3
T016,AZ,Southwest,93993.36999999998,104061.70000000004,-9.68,39.6,0.78,0.57,296,3,2373.57,2
T035,MT,Northwest,82159.52999999998,108124.69000000002,-24.01,76.0,0.71,0.45,262,1,1081.05,2
T006,GA,Southeast,80522.27999999998,77050.18000000004,4.51,25.1,0.4,0.39,194,1,3208.06,2
T019,FL,Southeast,66915.57,51173.430000000015,30.76,20.3,0.69,0.52,217,2,3296.33,2
T012,MI,Midwest,59649.33999999999,57277.719999999965,4.14,65.3,0.89,0.73,154,2,913.47,2
T026,CA,West,58322.100000000006,61176.98000000001,-4.67,34.4,0.6,0.2,115,2,1695.41,2
T048,AZ,Southwest,55815.21999999999,58635.72,-4.81,52.9,0.67,0.54,165,1,1055.11,2
T038,MN,Midwest,52750.4,46091.24999999999,14.45,25.1,0.79,0.92,296,2,2101.61,2
T025,WA,Northwest,51620.670000000006,46800.04,10.3,55.2,0.86,0.72,178,1,935.16,1
T039,NM,Southwest,48522.69999999999,63235.47,-23.27,40.9,0.79,0.51,178,2,1186.37,1
T046,NH,Northeast,40041.95000000001,31425.910000000003,27.42,29.7,0.53,0.58,191,1,1348.21,1
T021,WA,West,39304.97,43952.08,-10.57,65.8,0.87,0.46,280,2,597.34,1
T014,WA,West,37616.76000000001,46713.28999999999,-19.47,28.1,0.31,0.36,199,1,1338.67,1
T031,WI,Midwest,34492.9,31476.89,9.58,78.2,0.87,0.7,269,1,441.09,1
T015,SC,Southeast,29857.72,50621.15,-41.02,38.6,0.76,0.7,243,1,773.52,1
T001,OK,Southwest,25852.210000000003,27081.97000000001,-4.54,14.3,0.69,0.28,172,2,1807.85,1
