territory_id,region,mpi,competitor_intensity,urban_index,num_target_hcps,actual_revenue,call_volume,conversion_rate,potential_revenue,realization_pct,med_mpi,med_revenue,opportunity_gap_usd,whitespace_quadrant
T040,Southwest,85.3,0.68,0.45,184,0.0,0,0.0,725050.0,0.0,54.05,88076.44999999998,725050.0,Whitespace
T002,West,84.3,0.56,0.73,233,0.0,0,0.0,716550.0,0.0,54.05,88076.44999999998,716550.0,Whitespace
T034,Southwest,76.6,0.78,0.93,192,0.0,0,0.0,651100.0,0.0,54.05,88076.44999999998,651100.0,Whitespace
T030,Midwest,76.5,0.87,0.59,230,0.0,0,0.0,650250.0,0.0,54.05,88076.44999999998,650250.0,Whitespace
T031,Midwest,78.2,0.87,0.7,269,34492.9,145,0.20689655172413793,664700.0,5.2,54.05,88076.44999999998,630207.1,Whitespace
T035,Northwest,76.0,0.71,0.45,262,82159.52999999998,129,0.17829457364341086,646000.0,12.7,54.05,88076.44999999998,563840.47,Whitespace
T049,Northeast,77.5,0.5,0.56,220,127420.90000000001,177,0.21468926553672316,658750.0,19.3,54.05,88076.44999999998,531329.1,Star
T021,West,65.8,0.87,0.46,280,39304.97,160,0.18125,559300.0,7.0,54.05,88076.44999999998,519995.03,Whitespace
T033,Southwest,81.6,0.68,0.69,91,176714.04999999996,168,0.14285714285714285,693600.0,25.5,54.05,88076.44999999998,516885.95,Star
T032,Southeast,78.4,0.82,0.52,116,160740.59000000008,48,0.2708333333333333,666400.0,24.1,54.05,88076.44999999998,505659.41,Star
T017,Northwest,78.3,0.51,0.46,100,169787.27,120,0.25833333333333336,665550.0,25.5,54.05,88076.44999999998,495762.73,Star
T012,Midwest,65.3,0.89,0.73,154,59649.33999999999,259,0.16602316602316602,555050.0,10.7,54.05,88076.44999999998,495400.66,Whitespace
T029,Northeast,66.0,0.67,0.76,231,98244.84999999998,144,0.1736111111111111,561000.0,17.5,54.05,88076.44999999998,462755.15,Star
T050,Southwest,71.6,0.69,0.65,266,158891.56999999998,257,0.1867704280155642,608600.0,26.1,54.05,88076.44999999998,449708.43,Star
T025,Northwest,55.2,0.86,0.72,178,51620.670000000006,60,0.05,469200.0,11.0,54.05,88076.44999999998,417579.33,Whitespace
