state,rev_2024,rev_2023,territory_count,yoy_growth_pct,opportunity_gap,whitespace_count
OK,1015435,1066606.6500000001,3,-4.8,925115,1
PA,663987,658068.1200000005,1,0.9,-155687,0
MI,614867,685228.1599999999,4,-10.3,1536483,1
UT,538428,536515.33,1,0.4,1260172,1
GA,497300,546586.97,2,-9.0,238800,0
WA,437044,379482.2800000001,4,15.2,1206856,2
WY,382601,311672.6099999999,2,22.8,196249,0
CO,334613,391380.45,1,-14.5,362387,0
NM,324317,339831.07999999996,3,-4.6,1126633,0
AZ,308700,335517.60000000003,3,-8.0,1086150,0
NV,305686,249137.69,1,22.7,1111264,1
ID,291461,305993.0800000001,1,-4.7,119089,0
MT,251947,295785.35000000003,2,-14.8,1059603,1
NY,238813,247366.89000000007,2,-3.5,711487,0
SC,222456,241104.12,2,-7.7,587594,0
TN,160741,139365.91,1,15.3,505659,0
IL,125531,155233.75,1,-19.1,364919,0
MA,98245,101772.11000000004,1,-3.5,462755,0
FL,66916,51173.430000000015,1,30.8,105634,0
CA,58322,61176.98000000001,1,-4.7,234078,0
MN,52750,46091.24999999999,1,14.4,160600,0
NH,40042,31425.910000000003,1,27.4,610208,0
WI,34493,31476.89,1,9.6,1280457,2
