call_id,rep_id,hcp_id,territory_id,product_promoted,call_date,month,year,month_num,channel,call_outcome,converted,call_duration_min,samples_dropped
C0000001,R001,H0087,T010,P004,2023-01-21,2023-01-01,2023,1,In-Person Visit,Positive - Interest Shown,True,33,True
C0000002,R001,H0489,T010,P001,2023-01-09,2023-01-01,2023,1,In-Person Visit,Positive - Interest Shown,False,34,False
C0000003,R001,H0133,T010,P003,2023-01-07,2023-01-01,2023,1,Virtual Detail,Negative - No Interest,False,23,True
C0000004,R001,H0177,T010,P004,2023-01-03,2023-01-01,2023,1,Email Follow-up,Positive - Interest Shown,False,37,True
C0000005,R001,H0133,T010,P003,2023-01-30,2023-01-01,2023,1,Conference,Positive - Prescription Written,False,36,True
C0000006,R001,H0133,T010,P003,2023-02-21,2023-02-01,2023,2,Virtual Detail,Negative - No Interest,False,39,True
C0000007,R001,H0087,T010,P005,2023-02-20,2023-02-01,2023,2,In-Person Visit,Positive - Prescription Written,True,16,False
C0000008,R001,H0133,T010,P006,2023-02-03,2023-02-01,2023,2,In-Person Visit,Positive - Prescription Written,True,22,False
C0000009,R001,H0133,T010,P005,2023-02-05,2023-02-01,2023,2,In-Person Visit,Negative - No Interest,False,23,False
C0000010,R001,H0177,T010,P005,2023-02-09,2023-02-01,2023,2,Email Follow-up,Neutral - Information Only,False,36,False
C0000011,R001,H0087,T010,P001,2023-03-01,2023-03-01,2023,3,Virtual Detail,Follow-up Scheduled,False,5,False
C0000012,R001,H0128,T010,P006,2023-03-10,2023-03-01,2023,3,Email Follow-up,Neutral - Information Only,False,7,True
C0000013,R001,H0133,T010,P003,2023-03-02,2023-03-01,2023,3,In-Person Visit,Positive - Prescription Written,False,35,False
C0000014,R001,H0489,T010,P003,2023-03-11,2023-03-01,2023,3,In-Person Visit,Positive - Interest Shown,False,15,True
C0000015,R001,H0087,T010,P006,2023-03-13,2023-03-01,2023,3,Virtual Detail,Positive - Prescription Written,False,35,False
C0000016,R001,H0177,T010,P005,2023-04-08,2023-04-01,2023,4,In-Person Visit,Negative - No Interest,False,18,False
C0000017,R001,H0489,T010,P004,2023-04-12,2023-04-01,2023,4,Speaker Program,Follow-up Scheduled,False,25,True
C0000018,R001,H0489,T010,P001,2023-04-20,2023-04-01,2023,4,In-Person Visit,Negative - No Interest,False,17,False
C0000019,R001,H0177,T010,P006,2023-04-06,2023-04-01,2023,4,In-Person Visit,Positive - Prescription Written,False,35,True
C0000020,R001,H0133,T010,P006,2023-04-06,2023-04-01,2023,4,Speaker Program,Positive - Interest Shown,False,28,False
C0000021,R001,H0133,T010,P005,2023-05-19,2023-05-01,2023,5,Virtual Detail,Positive - Prescription Written,True,12,False
C0000022,R001,H0177,T010,P003,2023-05-12,2023-05-01,2023,5,In-Person Visit,Positive - Interest Shown,True,42,False
C0000023,R001,H0489,T010,P006,2023-05-21,2023-05-01,2023,5,Email Follow-up,Neutral - Information Only,False,6,True
C0000024,R001,H0087,T010,P006,2023-05-15,2023-05-01,2023,5,In-Person Visit,Positive - Prescription Written,False,8,True
C0000025,R001,H0087,T010,P006,2023-05-18,2023-05-01,2023,5,Speaker Program,Positive - Interest Shown,False,44,True
C0000026,R001,H0133,T010,P005,2023-06-07,2023-06-01,2023,6,In-Person Visit,Neutral - Information Only,False,17,True
C0000027,R001,H0177,T010,P001,2023-06-19,2023-06-01,2023,6,In-Person Visit,Negative - No Interest,False,31,False
C0000028,R001,H0133,T010,P001,2023-06-14,2023-06-01,2023,6,In-Person Visit,Positive - Interest Shown,False,12,True
C0000029,R001,H0133,T010,P006,2023-06-20,2023-06-01,2023,6,Conference,Positive - Prescription Written,False,6,True
C0000030,R001,H0133,T010,P006,2023-06-27,2023-06-01,2023,6,In-Person Visit,Neutral - Information Only,False,31,True
C0000031,R001,H0087,T010,P005,2023-07-14,2023-07-01,2023,7,In-Person Visit,Neutral - Information Only,False,33,True
C0000032,R001,H0133,T010,P002,2023-07-09,2023-07-01,2023,7,In-Person Visit,Neutral - Information Only,False,28,False
C0000033,R001,H0489,T010,P006,2023-07-17,2023-07-01,2023,7,In-Person Visit,Neutral - Information Only,False,36,True
C0000034,R001,H0133,T010,P002,2023-07-03,2023-07-01,2023,7,Email Follow-up,Neutral - Information Only,False,37,True
C0000035,R001,H0489,T010,P001,2023-07-29,2023-07-01,2023,7,In-Person Visit,Neutral - Information Only,False,34,False
C0000036,R001,H0133,T010,P004,2023-08-30,2023-08-01,2023,8,Email Follow-up,Negative - No Interest,False,26,False
C0000037,R001,H0177,T010,P003,2023-08-09,2023-08-01,2023,8,Virtual Detail,Follow-up Scheduled,False,18,False
C0000038,R001,H0128,T010,P001,2023-08-29,2023-08-01,2023,8,In-Person Visit,Positive - Interest Shown,True,24,True
C0000039,R001,H0133,T010,P002,2023-08-21,2023-08-01,2023,8,In-Person Visit,Negative - No Interest,False,15,False
C0000040,R001,H0133,T010,P006,2023-08-14,2023-08-01,2023,8,In-Person Visit,Negative - No Interest,False,39,False
C0000041,R001,H0087,T010,P002,2023-09-09,2023-09-01,2023,9,In-Person Visit,Positive - Prescription Written,True,30,False
C0000042,R001,H0087,T010,P003,2023-09-29,2023-09-01,2023,9,Virtual Detail,Positive - Interest Shown,True,35,False
C0000043,R001,H0177,T010,P005,2023-09-25,2023-09-01,2023,9,In-Person Visit,Positive - Interest Shown,False,16,True
C0000044,R001,H0128,T010,P006,2023-09-04,2023-09-01,2023,9,Speaker Program,Negative - No Interest,False,42,False
C0000045,R001,H0133,T010,P006,2023-09-12,2023-09-01,2023,9,Virtual Detail,Positive - Prescription Written,False,26,False
C0000046,R001,H0133,T010,P002,2023-10-11,2023-10-01,2023,10,Email Follow-up,Positive - Interest Shown,True,35,False
