sale_id,rep_id,territory_id,product_id,month,year,month_num,units_sold,revenue_usd,discount_pct,net_revenue_usd
S000001,R001,T010,P001,2023-01-01,2023,1,17,7307.69,0.076,6752.31
S000002,R001,T010,P003,2023-01-01,2023,1,7,9310.45,0.131,8090.78
S000003,R001,T010,P004,2023-01-01,2023,1,13,4327.39,0.178,3557.11
S000004,R001,T010,P002,2023-01-01,2023,1,2,1531.19,0.112,1359.7
S000005,R001,T010,P004,2023-02-01,2023,2,16,5248.05,0.147,4476.59
S000006,R001,T010,P006,2023-02-01,2023,2,24,21629.99,0.073,20051.0
S000007,R001,T010,P001,2023-02-01,2023,2,4,1825.37,0.095,1651.96
S000008,R001,T010,P006,2023-03-01,2023,3,20,18652.08,0.142,16003.48
S000009,R001,T010,P001,2023-03-01,2023,3,6,2545.45,0.069,2369.81
S000010,R001,T010,P004,2023-03-01,2023,3,8,2533.5,0.129,2206.68
S000011,R001,T010,P003,2023-04-01,2023,4,3,4288.78,0.06,4031.45
S000012,R001,T010,P005,2023-04-01,2023,4,21,6184.96,0.175,5102.59
S000013,R001,T010,P004,2023-04-01,2023,4,9,2956.08,0.155,2497.89
S000014,R001,T010,P002,2023-05-01,2023,5,8,5743.21,0.077,5300.98
S000015,R001,T010,P001,2023-05-01,2023,5,11,4703.26,0.153,3983.66
S000016,R001,T010,P006,2023-05-01,2023,5,9,8677.45,0.08,7983.25
S000017,R001,T010,P005,2023-05-01,2023,5,11,3377.38,0.077,3117.32
S000018,R001,T010,P003,2023-06-01,2023,6,21,26624.49,0.025,25958.88
S000019,R001,T010,P001,2023-06-01,2023,6,4,1857.68,0.087,1696.06
S000020,R001,T010,P004,2023-07-01,2023,7,13,4151.79,0.055,3923.44
S000021,R001,T010,P001,2023-07-01,2023,7,2,1223.72,0.094,1108.69
S000022,R001,T010,P004,2023-08-01,2023,8,4,1379.14,0.145,1179.16
S000023,R001,T010,P006,2023-08-01,2023,8,13,12204.73,0.152,10349.61
S000024,R001,T010,P003,2023-08-01,2023,8,14,18671.02,0.021,18278.93
S000025,R001,T010,P001,2023-08-01,2023,8,19,8331.14,0.089,7589.67
S000026,R001,T010,P001,2023-09-01,2023,9,3,1334.97,0.026,1300.26
S000027,R001,T010,P004,2023-09-01,2023,9,22,7034.28,0.134,6091.69
S000028,R001,T010,P002,2023-10-01,2023,10,11,7761.49,0.149,6605.03
S000029,R001,T010,P006,2023-10-01,2023,10,5,4991.98,0.081,4587.63
S000030,R001,T010,P003,2023-10-01,2023,10,4,6036.76,0.145,5161.43
S000031,R001,T010,P005,2023-10-01,2023,10,4,1386.89,0.126,1212.14
S000032,R001,T010,P006,2023-11-01,2023,11,5,4973.74,0.162,4167.99
S000033,R001,T010,P004,2023-11-01,2023,11,16,5262.88,0.107,4699.75
S000034,R001,T010,P003,2023-12-01,2023,12,11,13875.52,0.136,11988.45
S000035,R001,T010,P005,2023-12-01,2023,12,15,4587.74,0.149,3904.17
S000036,R001,T010,P006,2023-12-01,2023,12,10,8906.06,0.116,7872.96
S000037,R001,T010,P006,2024-01-01,2024,1,10,9676.08,0.069,9008.43
S000038,R001,T010,P001,2024-01-01,2024,1,16,7080.45,0.064,6627.3
S000039,R001,T010,P004,2024-01-01,2024,1,18,5643.06,0.054,5338.33
S000040,R001,T010,P005,2024-02-01,2024,2,4,1347.95,0.146,1151.15
S000041,R001,T010,P004,2024-02-01,2024,2,12,4003.38,0.132,3474.93
S000042,R001,T010,P006,2024-03-01,2024,3,10,9572.49,0.14,8232.34
S000043,R001,T010,P001,2024-03-01,2024,3,18,7839.25,0.108,6992.61
S000044,R001,T010,P002,2024-04-01,2024,4,15,10794.37,0.169,8970.12
S000045,R001,T010,P004,2024-04-01,2024,4,12,3784.69,0.074,3504.62
S000046,R001,T010,P004,2024-05-01,2024,5,14,4536.84,0.098,4092.23
S000047,R001,T010,P005,2024-05-01,2024,5,15,4625.06,0.046,4412.31
S000048,R001,T010,P001,2024-06-01,2024,6,7,3155.92,0.063,2957.1
S000049,R001,T010,P002,2024-06-01,2024,6,11,7710.17,0.04,7401.76
S000050,R001,T010,P004,2024-06-01,2024,6,4,1505.3,0.026,1466.16
S000051,R001,T010,P004,2024-07-01,2024,7,6,2146.18,0.07,1995.95
S000052,R001,T010,P005,2024-07-01,2024,7,7,2316.7,0.16,1946.03
S000053,R001,T010,P005,2024-08-01,2024,8,2,767.2,0.138,661.33
S000054,R001,T010,P003,2024-08-01,2024,8,8,10279.29,0.026,10012.03
S000055,R001,T010,P002,2024-08-01,2024,8,9,6360.52,0.179,5221.99
S000056,R001,T010,P006,2024-08-01,2024,8,2,2549.3,0.047,2429.48
S000057,R001,T010,P002,2024-09-01,2024,9,18,12521.27,0.089,11406.88
S000058,R001,T010,P006,2024-09-01,2024,9,4,3906.54,0.073,3621.36
S000059,R001,T010,P004,2024-09-01,2024,9,6,1953.37,0.123,1713.11
S000060,R001,T010,P005,2024-09-01,2024,9,15,4520.95,0.13,3933.23
S000061,R001,T010,P001,2024-10-01,2024,10,11,5019.52,0.095,4542.67
S000062,R001,T010,P002,2024-10-01,2024,10,20,14089.04,0.145,12046.13
S000063,R001,T010,P001,2024-11-01,2024,11,8,3703.38,0.174,3058.99
S000064,R001,T010,P005,2024-11-01,2024,11,17,4997.34,0.128,4357.68
S000065,R001,T010,P003,2024-11-01,2024,11,17,22364.54,0.129,19479.51
S000066,R001,T010,P004,2024-11-01,2024,11,11,3481.82,0.08,3203.27
S000067,R001,T010,P001,2024-12-01,2024,12,11,4654.34,0.124,4077.2
S000068,R001,T010,P003,2024-12-01,2024,12,6,7810.01,0.132,6779.09
S000069,R002,T026,P003,2023-01-01,2023,1,1,2115.75,0.04,2031.12
S000070,R002,T026,P006,2023-01-01,2023,1,1,285.16,0.061,267.77
S000071,R002,T026,P005,2023-01-01,2023,1,1,199.94,0.144,171.15
