territory_id,region,state,market_potential_index,urban_index,competitor_intensity,num_target_hcps,population_000s
T001,Southwest,OK,14.3,0.28,0.69,172,2374
T002,West,UT,84.3,0.73,0.56,233,1785
T003,Midwest,MI,71.1,0.38,0.74,281,545
T004,West,UT,33.6,0.34,0.33,169,225
T005,West,UT,35.1,0.45,0.64,241,414
T006,Southeast,GA,25.1,0.39,0.4,194,1969
T007,Midwest,MI,36.7,0.36,0.37,184,867
T008,Midwest,MI,20.8,0.69,0.51,214,1000
T009,Midwest,MI,59.2,0.96,0.36,275,1540
T010,West,UT,58.6,0.47,0.36,137,293
T011,Southwest,OK,61.5,0.26,0.49,193,1034
T012,Midwest,MI,65.3,0.73,0.89,154,545
T013,Northwest,WY,20.5,0.31,0.41,236,1642
T014,West,WA,28.1,0.36,0.31,199,1317
T015,Southeast,SC,38.6,0.7,0.76,243,1212
T016,Southwest,AZ,39.6,0.57,0.78,296,2306
T017,Northwest,MT,78.3,0.46,0.51,100,1215
T018,Northwest,WY,47.6,0.61,0.58,243,1359
T019,Southeast,FL,20.3,0.52,0.69,217,783
T020,Southwest,OK,75.9,0.98,0.33,180,1306
T021,West,WA,65.8,0.46,0.87,280,1388
T022,Northeast,NH,46.8,0.42,0.83,231,882
T023,Southwest,NV,81.4,0.51,0.46,271,384
T024,Southeast,SC,56.7,0.52,0.31,256,900
T025,Northwest,WA,55.2,0.72,0.86,178,1103
T026,West,CA,34.4,0.2,0.6,115,1692
T027,Southwest,NM,48.2,0.69,0.62,289,1347
T028,Northeast,PA,59.8,0.49,0.71,175,1826
T029,Northeast,MA,66.0,0.76,0.67,231,1341
T030,Midwest,WI,76.5,0.59,0.87,230,2367
T031,Midwest,WI,78.2,0.7,0.87,269,1566
T032,Southeast,TN,78.4,0.52,0.82,116,1367
T033,Southwest,NM,81.6,0.69,0.68,91,1690
T034,Southwest,OK,76.6,0.93,0.78,192,2226
T035,Northwest,MT,76.0,0.45,0.71,262,1595
T036,Northwest,WA,44.3,0.58,0.64,92,1669
T037,Northwest,ID,48.3,0.5,0.38,102,1538
T038,Midwest,MN,25.1,0.92,0.79,296,2006
T039,Southwest,NM,40.9,0.51,0.79,178,1515
T040,Southwest,NV,85.3,0.45,0.68,184,649
T041,Northeast,NY,34.3,0.48,0.79,109,1830
T042,Midwest,OH,35.7,0.57,0.69,96,660
T043,West,CO,39.4,0.44,0.42,192,366
T044,Midwest,IL,57.7,0.53,0.46,141,1474
T045,West,CO,42.6,0.63,0.43,163,1305
T046,Northeast,NH,29.7,0.58,0.53,191,1977
T047,Southeast,GA,61.5,0.77,0.32,296,1960
T048,Southwest,AZ,52.9,0.54,0.67,165,1355
T049,Northeast,NY,77.5,0.56,0.5,220,2364
T050,Southwest,AZ,71.6,0.65,0.69,266,240
